Date,Number,HymnType
2022-08-14,6,O
2022-08-14,175,S
2022-08-14,85,I
2022-08-14,113,C
2022-08-14,227,D
2022-08-21,304,O
2022-08-21,180,S
2022-08-21,66,I
2022-08-21,147,C
2022-08-21,220,D
2022-08-28,141,O
2022-08-28,169,S
2022-08-28,223,I
2022-08-28,96,C
2022-08-28,7,D
2022-10-09,221,O
2022-10-09,171,S
2022-10-09,72,I
2022-10-09,14,C
2022-10-09,235,D
2022-10-16,230,O
2022-10-16,177,S
2022-10-16,72,I
2022-10-16,116,C
2022-10-16,134,D
2022-10-23,35,O
2022-10-23,184,S
2022-10-23,266,I
2022-10-23,124,C
2022-10-23,58,D
2022-10-30,60,O
2022-10-30,141,S
2022-10-30,307,I
2022-10-30,165,C
2022-10-30,161,D
2022-11-06,143,O
2022-11-06,187,S
2022-11-06,219,C
2022-11-13,10,O
2022-11-13,181,S
2022-11-13,135,I
2022-11-13,226,C
2022-11-20,93,O
2022-11-20,172,S
2022-11-20,67,I
2022-11-20,81,C
2022-11-20,106,D
2022-11-27,94,O
2022-11-27,171,S
2022-11-27,241,I
2022-11-27,220,C
2022-11-27,45,D
2022-12-04,202,O
2022-12-04,187,S
2022-12-04,214,C
2022-12-04,209,D
2022-12-11,205,O
2022-12-11,185,S
2022-12-11,203,I
2022-12-11,211,C
2022-12-11,213,D
2022-12-18,212,O
2022-12-18,182,S
2022-12-18,207,C
2022-12-25,204,O
2022-12-25,196,S
2022-12-25,206,I
2022-12-25,201,C
2023-01-01,215,O
2023-01-01,186,S
2023-01-01,72,I
2023-01-01,242,C
2023-01-08,136,O
2023-01-08,192,S
2023-01-08,41,C
2023-01-15,3,O
2023-01-15,190,S
2023-01-15,270,I
2023-01-15,304,C
2023-01-15,301,D
2023-01-22,10,O
2023-01-22,172,S
2023-01-22,293,C
2023-01-22,308,D
2023-01-29,74,O
2023-01-29,183,S
2023-01-29,89,I
2023-01-29,112,C
2023-01-29,84,D
2023-02-05,139,O
2023-02-05,172,S
2023-02-05,219,C
2023-02-05,220,D
2023-02-12,81,O
2023-02-12,185,S
2023-02-12,266,I
2023-02-12,116,C
2023-02-12,308,D
2023-02-19,225,O
2023-02-19,191,S
2023-02-19,59,I
2023-02-19,238,C
2023-02-19,249,D
2023-02-26,274,O
2023-02-26,178,S
2023-02-26,102,I
2023-02-26,229,C
2023-02-26,243,D
2023-03-05,248,O
2023-03-05,197,S
2023-03-05,168,C
2023-03-05,300,D
2023-03-12,27,O
2023-03-12,174,S
2023-03-12,264,I
2023-03-12,152,C
2023-03-12,5,D
2023-03-26,65,O
2023-03-26,170,S
2023-03-26,122,I
2023-03-26,303,C
2023-03-26,92,D
2023-04-09,199,O
2023-04-09,193,S
2023-04-09,200,C
2023-04-16,28,O
2023-04-16,173,S
2023-04-16,104,C
2023-04-16,294,D
2023-04-23,57,O
2023-04-23,188,S
2023-04-23,25,I
2023-04-23,131,C
2023-04-23,19,D
2023-04-30,250,O
2023-04-30,176,S
2023-04-30,254,I
2023-04-30,247,C
2023-04-30,140,D
2023-05-07,36,O
2023-05-07,194,S
2023-05-07,277,C
2023-05-07,239,D
2023-05-14,66,O
2023-05-14,195,S
2023-05-14,251,I
2023-05-14,153,C
2023-05-14,252,D
2023-05-21,243,O
2023-05-21,189,S
2023-05-21,246,I
2023-05-21,49,C
2023-05-21,227,D
2023-05-28,3,O
2023-05-28,169,S
2023-05-28,264,I
2023-05-28,130,C
2023-05-28,98,D
2023-06-04,7,O
2023-06-04,180,S
2023-06-04,58,C
2023-06-04,97,D
2023-06-11,60,O
2023-06-11,184,S
2023-06-11,230,I
2023-06-11,156,C
2023-06-11,30,D
2023-06-18,59,O
2023-06-18,177,S
2023-06-18,41,I
2023-06-18,99,C
2023-06-18,300,D
2023-06-25,274,O
2023-06-25,190,S
2023-06-25,17,I
2023-06-25,142,C
2023-06-25,249,D
2023-07-02,338,O
2023-07-02,196,S
2023-07-02,340,C
2023-07-02,60,D
2023-07-09,339,O
2023-07-09,181,S
2023-07-09,229,I
2023-07-09,306,C
2023-07-09,301,D
2023-07-16,243,O
2023-07-16,187,S
2023-07-16,225,I
2023-07-16,133,C
2023-07-16,92,D
2023-07-23,81,O
2023-07-23,188,S
2023-07-23,36,I
2023-07-23,34,C
2023-07-23,304,D
2023-07-30,264,O
2023-07-30,182,S
2023-07-30,11,I
2023-07-30,146,C
2023-07-30,113,D
2023-08-20,66,O
2023-08-20,171,S
2023-08-20,27,I
2023-08-20,159,C
2023-08-20,220,D
2023-08-27,3,O
2023-08-27,175,S
2023-08-27,256,I
2023-08-27,302,C
2023-08-27,5,D
2023-09-03,250,O
2023-09-03,186,S
2023-09-03,117,C
2023-09-03,241,D
2023-09-10,60,O
2023-09-10,192,S
2023-09-10,117,I
2023-09-10,103,C
2023-09-10,300,D
2023-09-17,25,O
2023-09-17,183,S
2023-09-17,289,I
2023-09-17,125,C
