Number,Title,Mood,Length,Familiarity,Limited,Easter,Patriotic,Pioneer,Thanksgiving,Christmas,NewYear,Sacrament,Fasting,Closing,Dismiss
1,The Morning Breaks,Triumphantly,4,4,,,,,,,,,,,
2,The Spirit of God,Exultantly,6,5,,,,,,,,,,,
3,Now Let Us Rejoice,Cheerfully,3,5,,,,,,,,,,,
4,Truth Eternal,With dignity,2,2,,,,,,,,,,,
5,High on the Mountain Top,Resolutely,3,5,,,,,,,,,,,
6,Redeemer of Israel,Confidently,4,5,,,,,,,,,,,
7,"Israel, Israel, God Is Calling",With spirit,4,4,,,,,,,,,,,
8,Awake and Arise,Brightly,3,2,,,,,,,,,,,
9,"Come, Rejoice",Joyfully,3,2,,,,,,,,,,,
10,"Come, Sing to the Lord",Joyfully,2,3,,,,,,,,,,,
11,What Was Witnessed in the Heavens?,Boldly,2,2,,,,,,,,,,,
12,’Twas Witnessed in the Morning Sky*,Majestically,3,1,,,,,,,,,,,
13,An Angel from on High,Thoughtfully,4,3,,,,,,,,,,,
14,Sweet Is the Peace the Gospel Brings,With devotion,4,3,,,,,,,,,,,
15,I Saw a Mighty Angel Fly*,Joyfully,3,2,,,,,,,,,,,
16,What Glorious Scenes Mine Eyes Behold,Joyfully,4,1,,,,,,,,,,,
17,"Awake, Ye Saints of God, Awake!",Vigorously,3,2,,,,,,,,,,,
18,The Voice of God Again Is Heard,Majestically,2,2,,,,,,,,,,,
19,"We Thank Thee, O God, for a Prophet",Brightly,3,5,,,,,,,,,,,
20,"God of Power, God of Right",Majestically,2,2,,,,,,,,,,,
21,"Come, Listen to a Prophet’s Voice",Joyfully,3,4,,,,,,,,,,,
22,We Listen to a Prophet’s Voice,Resolutely,3,3,,,,,,,,,,,
23,We Ever Pray for Thee,Fervently,4,3,,,,,,,,,,,
24,God Bless Our Prophet Dear,Prayerfully,2,2,,,,,,,,,,,
25,Now We’ll Sing with One Accord,Boldly,3,4,,,,,,,,,,,
26,Joseph Smith’s First Prayer,With dignity,4,4,,,,,,,,,,,
27,Praise to the Man,Vigorously,4,5,,,,,,,,,,,
28,"Saints, Behold How Great Jehovah",With energy,2,2,,,,,,,,,,,
29,A Poor Wayfaring Man of Grief,Peacefully,6,4,,,,,,,,,,,
30,"Come, Come, Ye Saints",With conviction,4,5,,,,x,,,,,,,
31,"O God, Our Help in Ages Past",With dignity,2,2,,,,,,,,,,,
32,The Happy Day at Last Has Come,Brightly,2,1,,,,,,,,,,,
33,Our Mountain Home So Dear,Tenderly,3,2,,,,x,,,,,,,
34,O Ye Mountains High,Majestically,4,2,,,,x,,,,,,,
35,For the Strength of the Hills,Energetically,3,4,,,,x,,,,,,,
36,"They, the Builders of the Nation",Vigorously,3,4,,,,x,,,,,,,
37,"The Wintry Day, Descending to Its Close",Expressively,5,2,x,,,,,,,,,x,
38,"Come, All Ye Saints of Zion",Enthusiastically,3,2,,,,,,,,,,,
39,O Saints of Zion,Energetically,2,2,,,,,,,,,,,
40,"Arise, O Glorious Zion",Brightly,3,2,,,,,,,,,,,
41,Let Zion in Her Beauty Rise,Boldly,2,3,,,,,,,,,,,
42,Hail to the Brightness of Zion’s Glad Morning!,Joyfully,3,2,,,,,,,,,,,
43,Zion Stands with Hills Surrounded,With dignity,3,1,,,,,,,,,,,
44,"Beautiful Zion, Built Above",Lightly,4,3,,,,,,,,,,,
45,Lead Me into Life Eternal,With dignity,2,2,,,,,,,,,,,
46,Glorious Things of Thee Are Spoken,Majestically,3,2,,,,,,,,,,,
47,We Will Sing of Zion,Resolutely,2,2,,,,,,,,,,,
48,Glorious Things Are Sung of Zion,Majestically,3,1,,,,,,,,,,,
